start,end,today,,Select region,Select your National Society,Visibility:,__version__,_id,_uuid,_submission_time,_validation_status,_index,INVOLVED IN VACCINATION ACTIVITIES,ISO3,Final involvement,Source
2021-02-13T11:32:33.496+03:00,2021-02-13T12:01:23.310+03:00,2021-02-13,,Africa,Somali Red Crescent Society,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,13463,4bd76b9c-49a1-4c6a-80e6-363139d012cb,2021-02-13T09:01:23,,1,0,SOM,Yes,SA Tool
2021-02-02T14:03:54.722-04:00,2021-02-02T14:16:14.298-04:00,,,Americas,Dominica Red Cross Society,,vMPG6MGnijsu8tbJnDstLN,10521,30f15162-b66d-4c72-9541-052050ae2176,2021-02-02T18:16:20,,3,0,DMA,Yes,SA Tool
2021-02-19T09:04:02.023+03:00,2021-02-19T09:59:00.622+03:00,2021-02-19,,Europe,Turkish Red Crescent Society,IFRC Secretariat,vBBPRRPRGAkK8njaji7pcp,15455,aa4e351f-65d8-4025-adaf-93d470ffdb55,2021-02-19T06:59:03,,24,0,TUR,Yes,SA Tool
2021-02-19T15:33:45.270+02:00,2021-02-19T15:40:23.705+02:00,2021-02-19,,Europe,Latvian Red Cross,IFRC Secretariat,vBBPRRPRGAkK8njaji7pcp,15596,5992a152-11bc-42dc-86ef-e461583afead,2021-02-19T13:44:44,,36,0,LVA,Yes,SA Tool
2021-02-19T16:07:25.973+01:00,2021-02-19T17:04:27.000+01:00,2021-02-19,,Europe,Red Cross of North Macedonia,Public,vBBPRRPRGAkK8njaji7pcp,15643,69130f3b-76a6-42b6-ba70-e020d8398ddb,2021-02-19T16:04:39,,39,0,MKD,Yes,SA Tool
2021-02-16T14:19:25.952+02:00,2021-02-16T16:10:36.034+02:00,2021-02-16,,Europe,Bulgarian Red Cross,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,14415,690bac61-4bd3-4a29-97fc-7a7ccaf4932b,2021-02-16T14:08:03,,1,0,BGR,Yes,SA Tool
2021-02-16T15:11:09.714-00:00,2021-02-17T10:55:01.240-00:00,2021-02-16,,Europe,British Red Cross,IFRC Secretariat,vBBPRRPRGAkK8njaji7pcp,14765,ae57fb08-28ce-4d50-8882-6fb6dd0e0032,2021-02-17T10:57:01,,2,0,GBR,Yes,SA Tool
2021-02-17T14:33:45.023+02:00,2021-02-17T14:39:09.985+02:00,2021-02-17,,Europe,Estonia Red Cross,IFRC Secretariat,vBBPRRPRGAkK8njaji7pcp,14779,9d9f0c42-3333-4c36-adb2-6059ad6cf3e0,2021-02-17T12:39:21,,3,0,EST,No,SA Tool
2021-02-17T13:36:25.367+01:00,2021-02-17T14:05:52.467+01:00,2021-02-17,,Europe,Red Cross of Montenegro,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,14785,e8a1cff0-458a-4b57-827f-906c728d487b,2021-02-17T13:06:05,,4,0,MNE,Yes,SA Tool
2021-02-17T15:18:39.800+02:00,2021-02-17T15:30:39.876+02:00,2021-02-17,,Europe,Ukrainian Red Cross Society,IFRC Secretariat,vBBPRRPRGAkK8njaji7pcp,14793,5176bc00-4c4f-4238-8b09-c9b90b7b9de2,2021-02-17T13:30:51,,5,0,UKR,Yes,SA Tool
2021-02-17T09:30:53.839+01:00,2021-02-17T15:35:16.569+01:00,2021-02-17,,Europe,Spanish Red Cross,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,14810,5a0bf3ac-6fed-43e7-9efc-1ff2b657a436,2021-02-17T14:35:21,,7,0,ESP,Yes,SA Tool
2021-02-17T16:19:53.235+02:00,2021-02-17T16:43:54.888+02:00,2021-02-17,,Europe,Finnish Red Cross,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,14817,2d94a1a9-25e7-4cd5-a40a-ade87b40618f,2021-02-17T14:44:06,,8,0,FIN,Yes,SA Tool
2021-02-17T13:43:36.951+01:00,2021-02-17T16:01:08.893+01:00,2021-02-17,,Europe,French Red Cross,Public,vBBPRRPRGAkK8njaji7pcp,14825,864adda3-847d-4568-b8bd-219b1cc02768,2021-02-17T15:01:20,,9,0,FRA,Yes,SA Tool
2021-02-17T17:02:26.149+01:00,2021-02-17T17:32:20.707+01:00,2021-02-17,,Europe,Austrian Red Cross,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,14850,bd8ae37e-e20c-460b-9918-281d74021861,2021-02-17T16:32:26,,10,0,AUT,Yes,SA Tool
2021-02-18T09:00:23.369+06:00,2021-02-18T09:13:12.810+06:00,2021-02-18,,Europe,Red Crescent Society of Kyrgyzstan,Public,vBBPRRPRGAkK8njaji7pcp,14912,b64217ba-e0e3-4502-a57e-3a10b7cdede5,2021-02-18T03:13:22,,11,0,KGZ,Yes,SA Tool
2021-02-17T15:03:22.695+04:00,2021-02-18T11:28:30.103+04:00,2021-02-17,,Europe,Red Cross Society of Georgia,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,14920,20e25b2c-3f2c-4600-840e-a8c6333312c7,2021-02-18T07:29:46,,12,0,GEO,Yes,SA Tool
2021-02-18T15:34:22.127+06:00,2021-02-18T16:01:10.544+06:00,2021-02-18,,Europe,Kazakh Red Crescent,Public,vBBPRRPRGAkK8njaji7pcp,14964,1cdfbcd6-1315-4269-b2f0-e1acd3f32e77,2021-02-18T10:01:24,,13,0,KAZ,Yes,SA Tool
2021-02-18T12:52:54.944+02:00,2021-02-18T13:08:42.851+02:00,2021-02-18,,Europe,Israel - Magen David Adom in Israel,Public,vBBPRRPRGAkK8njaji7pcp,14994,57f15552-4d12-4e03-9383-0004e5327478,2021-02-18T11:08:54,,14,0,ISR,Yes,SA Tool
2021-02-18T14:23:46.153+04:00,2021-02-18T15:10:28.910+04:00,2021-02-18,,Europe,Red Crescent Society of Azerbaijan,Public,vBBPRRPRGAkK8njaji7pcp,14995,4a6aa320-67ae-4f27-a762-f9e9f8c16720,2021-02-18T11:10:41,,15,0,AZE,Yes,SA Tool
2021-02-16T11:35:42.269+01:00,2021-02-18T12:36:42.706+01:00,2021-02-16,,Europe,German Red Cross,IFRC Secretariat,vBBPRRPRGAkK8njaji7pcp,15002,593ff663-3a76-46a8-b37a-2e4e1c7ede7a,2021-02-18T11:36:54,,16,0,DEU,Yes,SA Tool
