iso3,indicator_name,indicator_month,indicator_value,population_size
AFG,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.711582541,38928346
AGO,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/11/2020,0.618310332,32866272
ALB,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/04/2021,0.752475262,2877797
ARE,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.9045147,9890402
ARG,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.875890255,45195774
AUS,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.765078723,25499884
AUT,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.816676021,9006398
AZE,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/04/2021,0.566793919,10139177
BEL,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.878620386,11589623
BFA,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/11/2020,0.860000014,20903273
BGD,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.857907474,164689383
BGR,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.595390022,6948445
BIH,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.732394338,3280819
BLR,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.523586214,9449323
BOL,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.82519114,11673021
BRA,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.923852086,212559417
CAN,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.882879555,37742154
CHE,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.79328841,8654622
CHL,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.930316925,19116201
CHN,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/02/2021,0.819999993,1439323776
CIV,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/04/2021,0.38499999,26378274
CMR,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/03/2021,0.358156025,26545863
COD,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/04/2021,0.342500001,89561403
COL,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.863530099,50882891
CRI,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.878590405,5094118
CZE,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.794614613,10708981
DEU,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.791404307,83783942
DNK,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.874191821,5792202
DOM,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.868290126,10847910
DZA,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.478156924,43851044
ECU,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.857607603,17643054
EGY,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.693453789,102334404
ESP,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.885159403,46754778
EST,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/11/2020,0.500692546,1326535
ETH,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.72954762,114963588
FIN,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.828343391,5540720
FRA,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.723724157,65273511
GAB,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/12/2020,0.670000017,2225734
GBR,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.923121005,67886011
GEO,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/11/2020,0.502123773,3989167
GHA,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.822714686,31072940
GIN,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/02/2021,0.860000014,13132795
GRC,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.867846012,10423054
GTM,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.823903382,17915568
HND,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.886980116,9904607
HRV,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.74104929,4105267
HUN,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.849726856,9660351
IDN,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.770912081,273523615
IND,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.82971561,1380004385
IRL,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.912548184,4937786
IRN,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/04/2020,0.731999993,83992949
IRQ,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.571176827,40222493
ISR,Percentage of individuals who would get vaccinated once a vaccine is available and recommended,01/05/2021,0.929916501,8655535
