COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Albania,ALB,EURO,REPORTING,2023-09-10,3088966,1349255,107.3,47.264,1279333,44.815,,2021-01-13,6,402371,14.095
Chile,CHL,AMRO,REPORTING,2023-06-02,66273384,18106832,346.687,94.72,17716364,92.677,,2020-12-21,5,15766986,82.48
Congo,COG,AFRO,REPORTING,2022-07-31,833210,695760,15.1,12.609,654119,11.854,,2021-03-23,4,,
Côte d’Ivoire,CIV,AFRO,REPORTING,2023-02-19,25263932,13568372,95.776,51.438,12164304,46.115,,2021-03-01,5,3138712,11.899
Denmark,DNK,EURO,REPORTING,2023-10-01,14915662,4746509,256.2,80.813,4711993,80.226,,2020-12-16,5,3616993,61.582
Greenland,GRL,EURO,OWID,2022-03-14,79738,41227,140.453,72.619,38511,67.834,,,1,,
Guernsey,GGY,EURO,OWID,2022-12-19,178525,54223,276.92,84.108,52710,81.761,,,3,69339,107.556
Guinea,GIN,AFRO,REPORTING,2023-09-24,12049511,8715641,91.751,66.365,5853990,44.575,,2021-03-05,6,425378,3.239
Guinea-Bissau,GNB,AFRO,REPORTING,2023-10-15,920752,747057,46.786,37.96,547637,27.827,,2021-04-02,2,76359,3.88
Guyana,GUY,AMRO,REPORTING,2023-06-02,960133,495285,122.069,62.969,381984,48.564,,2021-02-11,7,77874,9.901
Hungary,HUN,EURO,REPORTING,2023-10-01,16570818,6358690,169.6,65.628,6152042,63.495,,2020-12-23,8,3868705,39.929
Japan,JPN,WPRO,REPORTING,2023-10-03,409826682,104707550,324.034,82.788,103388112,81.745,,2021-02-17,4,86596573,68.469
Kyrgyzstan,KGZ,EURO,REPORTING,2023-06-18,3167393,1528725,48.5,23.419,1337850,20.495,,2021-03-31,6,300818,4.608
Mauritius,MUS,AFRO,REPORTING,2023-07-30,2616012,1123773,205.699,88.363,1088142,85.561,,2021-01-26,3,654507,51.464
Mongolia,MNG,WPRO,REPORTING,2023-03-17,5668144,2284018,172.899,69.671,2185282,66.659,,2021-02-23,6,1058839,32.299
North Macedonia,MKD,EURO,REPORTING,2023-05-07,1862987,854570,89.4,40.629,838181,39.85,,2021-02-17,7,161633,7.685
Seychelles,SYC,AFRO,REPORTING,2023-04-09,224558,88520,228.332,90.008,83565,84.97,,2021-01-10,4,44936,45.691
Trinidad and Tobago,TTO,AMRO,REPORTING,2023-06-02,1589640,754399,113.587,53.905,718969,51.374,,2021-02-17,5,174836,12.493
Turkmenistan,TKM,EURO,REPORTING,2023-08-06,16775970,4614869,278.2,72.768,4568901,72.044,,2021-02-24,7,3816400,60.178
Uganda,UGA,AFRO,REPORTING,2023-05-28,26406936,20033189,57.731,43.797,13061126,28.555,,2021-03-10,5,764664,1.672
Ukraine,UKR,EURO,REPORTING,2022-02-27,31668577,15774300,72.4,36.237,15153577,34.811,,2021-02-24,6,741197,1.703
Yemen,YEM,EMRO,REPORTING,2023-09-17,1287688,1041596,4.317,3.492,798451,2.677,,2021-04-20,11,66565,0.223
American Samoa,ASM,WPRO,REPORTING,2023-03-29,114706,46206,207.812,83.711,42479,76.959,,2020-12-21,3,24160,43.77
Austria,AUT,EURO,REPORTING,2023-07-02,20403676,6899873,229.2,76.953,6682372,74.423,,2020-12-30,10,5405966,60.207
Bangladesh,BGD,SEARO,REPORTING,2023-10-18,362229859,151504394,219.947,91.994,142193276,86.34,,2021-01-27,8,68532189,41.613
Brunei Darussalam,BRN,WPRO,REPORTING,2023-06-30,1293100,451149,295.58,103.125,446714,102.111,,2021-04-03,5,340466,77.825
Bulgaria,BGR,EURO,REPORTING,2023-09-24,4618931,2108544,66.4,30.831,2080324,30.419,,2020-12-30,4,833135,12.182
Central African Republic,CAF,AFRO,REPORTING,2023-09-03,3342248,2600389,69.201,53.841,2484985,51.451,,2021-03-19,2,366221,7.583
Cuba,CUB,AMRO,REPORTING,2023-06-02,38105906,10749013,336.428,94.9,10016328,88.432,,,3,8742146,77.182
Curaçao,CUW,AMRO,REPORTING,2023-06-02,260324,108601,158.644,66.183,100885,61.48,,2021-02-24,3,43138,26.289
Ecuador,ECU,AMRO,REPORTING,2023-02-24,39495110,15329151,223.856,86.885,14233323,80.674,,2021-01-20,4,7708466,43.691
Estonia,EST,EURO,REPORTING,2023-10-01,2205229,845148,165.9,63.459,842177,63.236,,2020-12-23,9,487389,36.596
Ethiopia,ETH,AFRO,REPORTING,2023-05-28,68856793,52489512,59.894,45.658,43653006,37.971,,2021-03-13,4,5978070,5.2
Fiji,FJI,WPRO,REPORTING,2023-06-29,1547226,712025,172.596,79.428,641194,71.526,,2021-03-07,3,172078,19.196
Gambia,GMB,AFRO,REPORTING,2023-03-19,1444492,674314,59.772,27.903,539186,22.311,,2021-03-10,2,53741,2.224
